ticker,name,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
011070.KS,LG이노텍,209500.0,90.0,91.34,97.83,True,False
005380.KS,현대차,243000.0,90.0,91.28,99.55,True,False
373220.KS,LG에너지솔루션,434000.0,90.0,90.83,98.95,True,False
000150.KS,두산,697000.0,90.0,85.44,100.0,True,False
066970.KS,엘앤에프,111000.0,90.0,84.58,92.77,True,False
051910.KS,LG화학,339000.0,90.0,84.06,95.4,True,False
090710.KQ,휴림로봇,4605.0,88.76,94.77,100.0,True,False
003670.KS,포스코퓨처엠,193500.0,90.0,79.94,80.0,False,False
281740.KQ,레이크머티리얼즈,15000.0,90.0,78.34,80.3,False,False
006400.KS,삼성SDI,255500.0,90.0,75.77,78.45,False,False
361610.KS,SK아이이테크놀로지,33950.0,90.0,75.03,87.48,False,False
247540.KQ,에코프로비엠,161000.0,90.0,72.4,86.74,False,False
450950.KQ,아스테라시스,14800.0,90.0,70.99,80.0,False,False
015760.KS,한국전력,42700.0,90.0,70.02,98.49,False,False
008730.KS,율촌화학,38150.0,90.0,70.0,100.0,False,False
278280.KQ,천보,59600.0,90.0,67.32,92.93,False,False
096770.KS,SK이노베이션,116600.0,90.0,62.99,88.23,False,False
086520.KQ,에코프로,73300.0,90.0,62.46,80.89,False,False
450080.KS,에코프로머티,65800.0,90.0,60.98,60.0,False,False
018880.KS,한온시스템,3750.0,90.0,60.04,62.33,False,False
161390.KS,한국타이어앤테크놀로지,42350.0,90.0,57.05,72.45,False,False
383310.KQ,에코프로에이치엔,29150.0,90.0,50.69,60.0,False,False
022100.KS,포스코DX,25000.0,90.0,50.64,65.03,False,False
078600.KQ,대주전자재료,75300.0,90.0,50.0,60.0,False,False
137400.KQ,피엔티,41050.0,89.26,62.11,60.0,False,False
047050.KS,포스코인터내셔널,52900.0,88.78,75.44,92.71,False,False
011170.KS,롯데케미칼,73100.0,88.72,81.29,80.0,False,False
121600.KQ,나노신소재,54700.0,88.42,45.0,40.0,False,False
222080.KQ,씨아이에스,7310.0,88.4,50.26,60.0,False,False
011790.KS,SKC,109800.0,88.39,77.89,80.0,False,False
348370.KQ,엔켐,85100.0,87.88,70.0,80.0,False,False
052690.KS,한전기술,97700.0,87.51,47.48,67.97,False,False
007390.KQ,네이처셀,23400.0,86.48,25.0,0.0,False,True
036830.KQ,솔브레인홀딩스,45400.0,85.67,75.0,82.01,False,False
014820.KS,동원시스템즈,29700.0,85.45,29.2,18.79,False,True
005490.KS,POSCO홀딩스,293000.0,85.17,45.0,62.58,False,True
011210.KS,현대위아,52400.0,85.14,68.16,72.06,False,True
237690.KQ,에스티팜,96800.0,84.36,74.25,90.81,False,False
006260.KS,LS,187800.0,83.78,75.12,91.2,False,False
036460.KS,한국가스공사,40450.0,81.42,32.71,48.34,False,True
000660.KS,SK하이닉스,465500.0,80.0,95.0,98.35,False,False
000270.KS,기아,112100.0,79.99,77.94,99.85,False,False
241560.KS,두산밥캣,59300.0,79.42,69.24,77.31,False,True
028300.KQ,HLB,39800.0,79.31,10.0,20.0,False,True
115180.KQ,큐리언트,22800.0,79.28,85.0,97.88,False,False
402340.KS,SK스퀘어,257500.0,79.21,85.0,100.0,False,False
005930.KS,삼성전자,97900.0,79.01,95.0,98.59,False,False
009520.KQ,포스코엠텍,15180.0,78.8,82.29,86.35,False,False
066570.KS,LG전자,84200.0,78.69,80.86,81.99,False,True
084370.KQ,유진테크,81200.0,78.03,95.0,100.0,False,False
067310.KQ,하나마이크론,25950.0,76.85,91.76,94.81,False,False
055550.KS,신한지주,73100.0,76.37,86.94,100.0,False,False
356860.KQ,티엘비,67400.0,76.02,95.0,100.0,False,False
437730.KQ,삼현,29100.0,75.94,93.5,97.6,False,False
166090.KQ,하나머티리얼즈,45900.0,75.0,95.0,100.0,False,False
457190.KS,이수스페셜티케미컬,55000.0,75.0,84.54,88.75,False,False
207940.KS,삼성바이오로직스,1117000.0,75.0,83.49,95.41,False,False
178320.KQ,서진시스템,24950.0,75.0,69.59,86.09,False,False
084110.KQ,휴온스글로벌,56600.0,75.0,68.38,97.4,False,False
011780.KS,금호석유화학,112300.0,74.89,30.0,18.43,False,True
042700.KS,한미반도체,142300.0,74.48,93.57,97.71,False,False
417200.KQ,LS머트리얼즈,10390.0,74.35,27.97,20.0,False,True
068760.KQ,셀트리온제약,56500.0,73.44,73.53,88.19,False,False
058470.KQ,리노공업,57100.0,72.73,92.42,98.89,False,False
034020.KS,두산에너빌리티,80200.0,72.72,87.94,96.65,False,False
267260.KS,HD현대일렉트릭,667000.0,72.67,93.69,97.9,False,False
051600.KS,한전KPS,49850.0,72.65,30.0,43.0,False,True
030530.KQ,원익홀딩스,22350.0,72.4,94.23,98.77,False,False
298040.KS,효성중공업,1580000.0,72.39,93.17,97.07,False,False
204320.KS,HL만도,35400.0,72.0,45.0,41.66,False,True
195940.KQ,HK이노엔,47700.0,71.96,82.68,96.29,False,False
466100.KQ,클로봇,41800.0,71.86,85.0,80.0,False,True
028260.KS,삼성물산,210500.0,71.59,92.21,97.6,False,False
090360.KQ,로보스타,64400.0,71.33,90.93,93.5,False,False
310210.KQ,보로노이,173500.0,71.14,92.37,80.0,False,True
222800.KQ,심텍,49100.0,70.77,81.23,93.97,False,False
031980.KQ,피에스케이홀딩스,52500.0,70.51,88.17,89.08,False,False
131970.KQ,두산테스나,49850.0,70.3,91.33,94.13,False,False
183300.KQ,코미코,112100.0,70.21,92.91,96.65,False,False
240810.KQ,원익IPS,54000.0,70.0,92.29,95.66,False,False
010140.KS,삼성중공업,22550.0,69.85,85.0,99.76,False,False
108490.KQ,로보티즈,192200.0,69.47,82.46,95.93,False,False
101490.KQ,에스앤에스텍,58900.0,68.92,74.12,78.4,False,True
001440.KS,대한전선,17570.0,68.89,86.51,97.49,False,False
085660.KQ,차바이오텍,11470.0,68.79,53.88,40.0,False,True
010130.KS,고려아연,1223000.0,68.71,85.0,80.0,False,True
454910.KS,두산로보틱스,71800.0,68.59,80.4,95.28,False,False
033780.KS,KT&G,139400.0,68.53,77.84,96.55,False,False
033100.KQ,제룡전기,36300.0,67.98,40.0,60.0,False,True
397030.KQ,에이프릴바이오,31550.0,67.88,80.66,93.05,False,False
160190.KQ,하이젠알앤엠,58900.0,67.71,87.68,88.29,False,False
058610.KQ,에스피지,30850.0,67.59,88.76,92.11,False,False
204270.KQ,제이앤티씨,26150.0,67.46,90.54,94.71,False,False
399720.KQ,가온칩스,55700.0,67.1,91.49,94.39,False,False
080220.KQ,제주반도체,21350.0,66.43,81.41,94.26,False,False
010060.KS,OCI홀딩스,99400.0,66.33,67.02,93.72,False,False
232140.KQ,와이씨,14680.0,65.64,82.91,96.66,False,False
277810.KQ,레인보우로보틱스,331500.0,65.64,73.13,83.52,False,False
443060.KS,HD현대마린솔루션,228000.0,65.45,79.47,96.16,False,False
010950.KS,S-Oil,65300.0,64.93,78.23,96.49,False,False
388720.KQ,유일로보틱스,79500.0,64.79,65.66,68.68,False,True
036810.KQ,에프에스티,33900.0,64.4,90.2,92.32,False,False
319400.KQ,현대무벡스,10640.0,64.12,86.56,86.5,False,False
036540.KQ,SFA반도체,4325.0,64.05,81.76,94.81,False,False
017960.KS,한국카본,35100.0,63.86,85.6,73.03,False,True
089030.KQ,테크윙,65400.0,63.84,95.0,100.0,False,False
039030.KQ,이오테크닉스,248500.0,63.64,91.13,96.31,False,False
095610.KQ,테스,46800.0,62.85,94.63,99.41,False,False
016360.KS,삼성증권,74400.0,62.74,81.15,93.85,False,False
009830.KS,한화솔루션,29750.0,62.29,10.0,40.95,False,True
119850.KQ,지엔씨에너지,35800.0,62.28,78.29,89.26,False,False
010120.KS,LS ELECTRIC,302000.0,62.18,65.9,73.43,False,True
032820.KQ,우리기술,4270.0,61.61,68.15,88.32,False,False
098460.KQ,고영,15960.0,61.6,65.74,80.0,False,True
263750.KQ,펄어비스,35550.0,61.31,33.46,46.22,False,True
004490.KS,세방전지,65100.0,61.07,25.0,41.2,False,True
000670.KS,영풍,45300.0,60.95,91.11,93.81,False,False
114090.KS,GKL,16910.0,60.94,68.42,77.48,False,True
009150.KS,삼성전기,207000.0,60.11,94.17,98.67,False,False
034730.KS,SK,220500.0,59.56,69.14,95.71,False,False
083650.KQ,비에이치아이,51300.0,59.51,65.58,70.64,False,True
044490.KQ,태웅,33550.0,58.56,35.0,61.42,False,True
267250.KS,HD현대,163000.0,58.55,88.08,99.32,False,False
005850.KS,에스엘,36400.0,58.32,80.84,73.35,False,True
028050.KS,삼성E&A,27850.0,58.21,61.42,54.27,False,True
025980.KQ,아난티,9200.0,57.95,27.81,64.96,False,True
101730.KQ,위메이드맥스,6790.0,56.76,0.0,0.0,False,True
064760.KQ,티씨케이,180000.0,55.62,82.49,95.99,False,False
071050.KS,한국금융지주,154100.0,54.73,82.1,95.35,False,False
002380.KS,KCC,395500.0,54.45,76.6,72.32,False,True
071320.KS,지역난방공사,88200.0,53.27,82.07,95.3,False,False
458870.KQ,씨어스테크놀로지,70100.0,52.75,92.82,96.51,False,False
012330.KS,현대모비스,308000.0,51.7,77.46,75.93,False,True
007340.KS,DN오토모티브,23650.0,50.96,20.0,21.84,False,True
112610.KS,씨에스윈드,44000.0,50.78,0.0,20.0,False,True
005290.KQ,동진쎄미켐,43150.0,50.68,81.05,93.68,False,False
009540.KS,HD한국조선해양,420500.0,50.27,74.07,78.51,False,True
329180.KS,HD현대중공업,509000.0,50.12,81.1,77.12,False,True
319660.KQ,피에스케이,32750.0,48.9,80.68,93.08,False,False
034220.KS,LG디스플레이,14370.0,48.7,81.0,93.6,False,False
102710.KQ,이엔에프테크놀로지,56200.0,48.52,80.54,92.87,False,False
403870.KQ,HPSP,34750.0,48.38,82.15,95.44,False,False
074600.KQ,원익QnC,24650.0,48.26,80.65,93.04,False,False
131290.KQ,티에스이,51400.0,47.73,81.22,93.96,False,False
112040.KQ,위메이드,27450.0,47.43,2.38,0.0,False,True
285130.KS,SK케미칼,60500.0,47.31,30.0,63.47,False,True
095340.KQ,ISC,79000.0,46.91,91.69,94.7,False,False
035420.KS,NAVER,255500.0,46.91,75.4,90.36,False,False
440110.KQ,파두,22250.0,45.59,89.59,91.34,False,False
278470.KS,에이피알,239500.0,45.52,76.45,93.41,False,False
010620.KS,HD현대미포,201000.0,45.02,82.19,74.44,False,True
161580.KQ,필옵틱스,37600.0,44.94,61.11,80.0,False,True
009420.KS,한올바이오파마,33350.0,44.69,73.21,80.0,False,True
445680.KQ,큐리옥스바이오시스템즈,67300.0,44.65,75.4,84.63,False,False
003550.KS,LG,73600.0,41.74,23.91,30.26,False,True
