ticker,name,close,STS,MTS,LTS,BUY_CANDIDATE,SELL_SIGNAL
GILD,Gilead Sciences Inc.,122.81,90.0,87.65,99.15,True,False
EL,The Estée Lauder Companies Inc.,100.78,88.1,85.0,95.06,True,False
EL,The Estée Lauder Companies Inc.,100.78,88.1,85.0,95.06,True,False
PLD,Prologis Inc.,124.08,89.41,82.9,98.46,False,False
ROST,Ross Stores Inc.,156.31,82.66,86.79,99.65,False,False
CVS,CVS Health Corporation,82.52,80.0,89.38,96.99,False,False
PEP,PepsiCo Inc.,153.71,79.12,77.72,90.08,False,False
WMT,Walmart Inc.,107.73,77.45,84.4,99.05,False,False
JNJ,Johnson & Johnson,193.22,77.14,87.69,99.43,False,False
DUK,Duke Energy Corporation,128.53,76.43,87.56,99.91,False,False
KO,The Coca-Cola Company,68.44,75.46,37.01,31.32,False,True
K,The Kellogg Company,83.09,75.25,83.5,95.72,False,False
CSX,CSX Corporation,36.6,75.04,91.54,100.0,False,False
MCD,McDonald's Corporation,308.09,74.09,56.03,55.55,False,True
TMO,Thermo Fisher Scientific Inc.,538.92,73.95,83.0,71.26,False,True
ABNB,Airbnb Inc.,125.91,73.89,25.0,22.38,False,True
CSCO,Cisco Systems Inc.,70.13,73.78,84.14,98.62,False,False
CAT,Caterpillar Inc.,527.08,72.75,93.72,97.95,False,False
MU,Micron Technology Inc.,202.38,72.73,94.96,99.6,False,False
AMD,Advanced Micro Devices Inc.,233.08,72.19,90.39,98.11,False,False
VRTX,Vertex Pharmaceuticals Inc.,416.81,72.16,33.37,24.53,False,True
NEE,NextEra Energy Inc.,84.53,71.29,94.27,98.83,False,False
UPS,United Parcel Service Inc.,86.41,70.58,25.0,20.0,False,True
AMAT,Applied Materials Inc.,224.99,69.09,92.01,99.04,False,False
SAP,SAP SE,272.9,67.34,18.74,49.99,False,True
SO,The Southern Company,97.8,66.88,80.1,98.46,False,False
AVGO,Broadcom Inc.,349.33,64.58,77.34,95.75,False,False
AVGO,Broadcom Inc.,349.33,64.58,77.34,95.75,False,False
COST,Costco Wholesale Corporation,936.33,64.09,13.59,29.75,False,True
DAL,Delta Air Lines Inc.,59.64,63.04,78.7,89.92,False,False
TWLO,Twilio Inc.,106.65,62.78,5.0,20.0,False,True
PATH,UiPath Inc.,15.44,62.47,66.71,86.73,False,False
UAL,United Airlines Holdings Inc.,99.14,62.06,35.14,51.76,False,True
ZTS,Zoetis Inc.,144.06,61.49,10.85,0.0,False,True
GOOGL,Alphabet Inc. Class A,253.3,61.21,82.42,79.55,False,True
GOOG,Alphabet Inc. Class C,253.79,61.06,82.64,79.55,False,True
ASML,ASML Holding N.V.,1029.27,60.93,94.03,98.92,False,False
WFC,Wells Fargo & Company,83.28,60.59,78.16,97.06,False,False
CI,Cigna Corporation,299.27,59.86,47.53,48.04,False,True
RBLX,Roblox Corporation,132.92,59.57,81.95,95.12,False,False
SBUX,Starbucks Corporation,85.36,58.48,10.0,0.0,False,True
CRM,Salesforce Inc.,243.08,57.99,15.0,20.0,False,True
AAL,American Airlines Group Inc.,11.86,57.7,30.0,40.0,False,True
INTC,Intel Corporation,37.01,57.28,93.96,98.33,False,False
QRVO,Qorvo Inc.,92.13,55.85,74.08,70.53,False,True
ISRG,Intuitive Surgical Inc.,446.13,55.65,15.18,0.0,False,True
CL,Colgate-Palmolive Company,79.12,55.07,10.96,4.38,False,True
MDLZ,Mondelez International Inc.,62.46,54.71,19.5,11.19,False,True
EA,Electronic Arts Inc.,200.3,54.38,84.57,99.31,False,False
ABBV,AbbVie Inc.,229.57,53.74,81.27,75.69,False,True
SCHW,The Charles Schwab Corporation,94.14,53.55,42.69,76.31,False,True
SCHW,The Charles Schwab Corporation,94.14,53.55,42.69,76.31,False,True
GE,General Electric Company,300.14,52.8,85.65,78.66,False,True
SNOW,Snowflake Inc.,240.74,52.74,74.73,96.83,False,False
SHOP,Shopify Inc.,157.76,52.46,82.57,95.83,False,False
DE,Deere & Company,458.5,51.52,20.73,9.48,False,True
DDOG,Datadog Inc.,152.87,49.99,76.17,92.51,False,False
DDOG,Datadog Inc.,152.87,49.99,76.17,92.51,False,False
LRCX,Lam Research Corporation,141.51,49.74,88.65,95.9,False,False
AMT,American Tower Corporation,191.29,49.65,13.09,26.44,False,True
PANW,Palo Alto Networks Inc.,207.89,49.52,65.39,76.36,False,True
PANW,Palo Alto Networks Inc.,207.89,49.52,65.39,76.36,False,True
F,Ford Motor Company,11.92,49.42,76.93,95.09,False,False
MRVL,Marvell Technology Inc.,87.95,49.39,69.24,80.0,False,True
MRK,Merck & Co. Inc.,84.79,48.63,65.0,63.71,False,True
MCHP,Microchip Technology Inc.,65.14,48.04,32.41,67.86,False,True
UNH,UnitedHealth Group Incorporated,356.6,47.5,83.35,60.0,False,True
ETSY,Etsy Inc.,70.46,46.73,88.08,95.82,False,False
NFLX,Netflix Inc.,1199.36,46.62,9.78,31.65,False,True
MS,Morgan Stanley,158.67,46.01,78.78,98.04,False,False
MS,Morgan Stanley,158.67,46.01,78.78,98.04,False,False
KLAC,KLA Corporation,1106.66,45.77,87.76,97.68,False,False
TTD,The Trade Desk Inc.,49.98,44.59,5.58,40.0,False,True
LLY,Eli Lilly and Company,802.83,44.21,60.02,89.38,False,False
BLK,BlackRock Inc.,1161.16,43.66,83.28,97.24,False,False
LMT,Lockheed Martin Corporation,495.15,43.62,66.34,86.26,False,False
PAYX,Paychex Inc.,126.56,43.38,18.09,3.85,False,True
TSLA,Tesla Inc.,439.31,42.08,85.41,93.24,False,False
FDX,FedEx Corporation,237.8,40.31,73.33,83.81,False,False
HUM,Humana Inc.,275.01,39.52,56.78,70.76,False,True
REGN,Regeneron Pharmaceuticals Inc.,578.05,39.08,70.0,60.0,False,True
PG,Procter & Gamble Company,151.4,36.44,12.94,8.7,False,True
PM,Philip Morris International Inc.,158.06,35.23,3.46,9.53,False,True
LOW,Lowe's Companies Inc.,244.7,34.5,40.22,50.25,False,True
KHC,The Kraft Heinz Company,25.52,34.3,12.54,0.0,False,True
ZS,Zscaler Inc.,300.25,33.36,82.43,95.89,False,False
ZS,Zscaler Inc.,300.25,33.36,82.43,95.89,False,False
RY,Royal Bank of Canada,145.79,32.45,82.18,98.49,False,False
TEAM,Atlassian Corporation,151.95,32.11,10.59,0.0,False,True
TEAM,Atlassian Corporation,151.95,32.11,10.59,0.0,False,True
TXN,Texas Instruments Incorporated,176.58,31.13,16.01,44.31,False,True
TXN,Texas Instruments Inc.,176.58,31.13,16.01,44.31,False,True
ORCL,Oracle Corporation,291.31,26.56,75.4,71.1,False,True
IBM,International Business Machines Corporation,281.28,25.48,70.9,96.57,False,False
AAPL,Apple Inc.,252.29,24.58,86.56,98.2,False,False
AIG,American International Group Inc.,77.36,24.01,22.26,51.34,False,True
NTES,NetEase Inc.,148.21,23.83,76.51,74.41,False,True
MDB,MongoDB Inc.,318.53,23.75,75.49,92.78,False,False
MDT,Medtronic plc,95.78,23.69,83.65,77.85,False,True
GM,General Motors Company,58.38,23.33,78.03,76.14,False,True
SPGI,S&P Global Inc.,473.19,23.04,21.42,27.22,False,True
SPGI,S&P Global Inc.,473.19,23.04,21.42,27.22,False,True
NVDA,NVIDIA Corporation,183.22,22.79,82.57,96.12,False,False
ADSK,Autodesk Inc.,303.66,22.75,38.32,54.34,False,True
ADSK,Autodesk Inc.,303.66,22.75,38.32,54.34,False,True
TFC,Truist Financial Corporation,42.6,22.34,25.6,32.4,False,True
TD,The Toronto-Dominion Bank,79.19,21.88,89.92,97.99,False,False
APPN,Appian Corporation,28.15,21.36,22.9,40.0,False,True
SWKS,Skyworks Solutions Inc.,75.32,21.34,71.55,63.46,False,True
PLTR,Palantir Technologies Inc.,178.15,21.19,82.62,96.19,False,False
CRWD,CrowdStrike Holdings Inc.,484.65,20.98,72.54,75.42,False,True
CRWD,CrowdStrike Holdings Inc.,484.65,20.98,72.54,75.42,False,True
BILL,Bill Holdings Inc.,51.08,20.79,73.21,80.0,False,True
BKNG,Booking Holdings Inc.,5070.02,20.76,23.66,29.86,False,True
MSFT,Microsoft Corporation,513.58,20.73,58.02,56.83,False,True
LIN,Linde plc,450.89,20.51,29.43,34.59,False,True
AON,Aon plc,346.6,20.21,12.6,28.03,False,True
XOM,Exxon Mobil Corporation,112.24,20.13,77.3,95.68,False,False
MO,Altria Group Inc.,65.05,19.99,73.8,98.08,False,False
V,Visa Inc.,341.89,19.83,10.87,53.4,False,True
HD,The Home Depot Inc.,391.9,19.7,40.84,54.01,False,True
WDAY,Workday Inc.,234.25,19.67,56.84,66.95,False,True
PDD,PDD Holdings Inc.,128.48,19.65,80.39,96.0,False,False
CVX,Chevron Corporation,153.08,18.91,36.49,54.38,False,True
INTU,Intuit Inc.,661.39,18.54,14.26,25.65,False,True
INTU,Intuit Inc.,661.39,18.54,14.26,25.65,False,True
